Time,I,II,III,AVR,AVL,AVF,V1,V2,V3,V4,V5,V6
0.0,0,6,8,-3,-4,6,-6,-40,-6,55,8,0
0.002,0,4,8,-1,-4,6,-6,-40,-8,53,6,1
0.004,0,4,6,-1,-4,4,-6,-42,-9,50,4,0
0.006,0,4,4,-3,-3,4,-6,-42,-13,48,3,0
0.008,0,4,3,-3,-1,4,-8,-42,-14,45,3,0
0.01,0,4,3,-3,-1,3,-9,-43,-17,43,0,0
0.012,0,3,3,-1,-1,3,-9,-43,-19,40,0,0
0.014,0,3,3,-1,-1,3,-9,-45,-19,39,0,0
0.016,0,3,3,-1,-1,1,-9,-45,-21,37,0,0
0.018,0,3,3,0,-3,3,-9,-45,-22,35,-1,0
0.02,-1,3,4,0,-4,3,-9,-45,-22,34,-3,0
0.022,-1,3,6,0,-4,4,-8,-45,-24,32,-4,0
0.024,-3,3,8,0,-6,4,-8,-47,-26,30,-6,0
0.026,-3,3,8,0,-6,4,-9,-48,-27,27,-8,0
0.028,-1,3,6,0,-4,3,-9,-50,-30,24,-9,0
0.03,0,3,4,-1,-1,3,-8,-50,-32,22,-11,0
0.032,0,3,1,-3,0,3,-8,-50,-32,21,-13,0
0.034,0,3,1,-3,0,1,-8,-48,-32,21,-13,0
0.036,1,1,0,-3,0,0,-6,-47,-32,21,-14,0
0.038,1,1,0,-3,0,0,-4,-45,-32,21,-14,0
0.04,1,1,0,-3,0,0,-3,-47,-34,19,-16,0
0.042,0,0,0,0,0,0,-1,-47,-35,16,-17,0
0.044,-1,0,0,0,-1,0,0,-47,-37,14,-19,0
0.046,-3,0,1,0,-3,0,0,-47,-37,13,-19,0
0.048,-3,0,1,0,-3,0,0,-47,-37,13,-21,0
0.05,-3,0,1,0,-3,0,1,-47,-35,13,-21,0
0.052,-3,0,3,0,-4,0,1,-47,-35,13,-21,0
0.054,-4,0,3,1,-4,0,3,-45,-34,14,-21,0
0.056,-4,0,4,1,-6,0,3,-45,-32,14,-21,0
0.058,-6,-1,4,3,-6,0,4,-43,-30,14,-22,0
0.06,-9,-4,3,4,-6,0,3,-43,-30,13,-24,-1
0.062,-9,-6,3,6,-8,-1,3,-43,-30,13,-26,-3
0.064,-9,-8,1,8,-6,-1,4,-45,-30,11,-27,-4
0.066,-11,-8,1,8,-6,-3,4,-45,-32,9,-29,-6
0.068,-11,-8,1,8,-6,-3,4,-45,-32,6,-30,-6
0.07,-11,-8,1,9,-6,-3,4,-45,-32,4,-32,-8
