Time,I,II,III,avR,avL,avF,V1,V2,V3,V4,V5,V6
0,15014,12393,9772,14917,12320,9943,15580,12369,10372,14712,12198,9747
1,15014,12393,9772,14917,12334,9928,15570,12373,10357,14716,12198,9747
2,15014,12393,9772,14907,12334,9933,15570,12373,10357,14712,12188,9757
3,15014,12393,9772,14902,12339,9938,15566,12373,10357,14707,12188,9757
4,15014,12398,9777,14902,12344,9933,15566,12373,10353,14702,12188,9752
5,15014,12403,9782,14897,12349,9933,15570,12369,10333,14697,12188,9752
6,15014,12408,9786,14902,12354,9923,15566,12359,10318,14697,12198,9752
7,15014,12413,9791,14902,12349,9928,15561,12349,10309,14697,12198,9752
8,15019,12403,9777,14892,12344,9943,15551,12349,10304,14697,12198,9752
9,15024,12403,9772,14897,12325,9952,15551,12344,10309,14697,12203,9757
10,15029,12403,9767,14907,12339,9933,15551,12344,10304,14697,12193,9752
11,15034,12403,9762,14921,12334,9923,15551,12344,10304,14692,12193,9752
12,15019,12403,9777,14926,12330,9923,15551,12334,10304,14692,12193,9747
13,15014,12403,9782,14902,12344,9933,15546,12334,10289,14692,12193,9747
14,15009,12403,9786,14902,12344,9928,15546,12339,10294,14702,12198,9747
15,15004,12403,9791,14907,12349,9928,15541,12339,10289,14702,12198,9747
16,15009,12403,9786,14902,12344,9928,15536,12344,10284,14702,12198,9747
17,15014,12403,9782,14917,12334,9928,15546,12354,10279,14697,12193,9743
18,15019,12403,9777,14917,12334,9928,15546,12354,10279,14697,12193,9752
19,15024,12403,9772,14912,12330,9938,15546,12354,10279,14692,12193,9752
20,15024,12413,9782,14902,12330,9943,15546,12359,10279,14692,12193,9747
21,15024,12413,9782,14902,12344,9933,15536,12359,10279,14697,12193,9747
22,15024,12413,9782,14902,12344,9933,15536,12359,10279,14707,12203,9757
23,15024,12413,9782,14882,12334,9962,15536,12359,10279,14707,12203,9762
24,15024,12403,9772,14878,12330,9972,15536,12369,10279,14707,12203,9762
25,15024,12403,9772,14882,12330,9967,15546,12373,10270,14707,12208,9762
26,15024,12403,9772,14878,12339,9962,15551,12378,10270,14697,12198,9757
27,15024,12403,9772,14878,12339,9962,15561,12398,10274,14697,12198,9752
28,15034,12393,9752,14882,12334,9962,15590,12437,10284,14692,12193,9747
29,15034,12393,9752,14887,12349,9943,15619,12481,10299,14692,12193,9743
30,15034,12393,9752,14892,12354,9933,15653,12520,10314,14697,12188,9743
31,15034,12393,9752,14892,12359,9928,15673,12535,10338,14702,12188,9743
32,15024,12398,9767,14892,12359,9928,15692,12583,10382,14702,12188,9743
33,15024,12403,9772,14897,12344,9938,15697,12632,10436,14692,12183,9743
34,15024,12408,9777,14892,12354,9933,15722,12696,10528,14702,12203,9762
35,15024,12413,9782,14892,12354,9933,15746,12793,10650,14702,12212,9767
36,15034,12413,9772,14887,12349,9943,15746,12876,10792,14692,12198,9752
37,15034,12413,9772,14878,12344,9957,15722,12940,10933,14682,12188,9743
38,15034,12413,9772,14878,12339,9962,15649,12905,11016,14682,12188,9743
39,15034,12413,9772,14868,12349,9962,15497,12759,11036,14682,12188,9743
40,15024,12403,9772,14868,12349,9962,15341,12569,11016,14682,12188,9743
41,15024,12403,9772,14858,12349,9972,15258,12456,11026,14687,12198,9752
42,15024,12403,9772,14858,12349,9972,15180,12330,11016,14692,12198,9752
43,15024,12403,9772,14848,12369,9967,15053,12154,10924,14692,12198,9752
44,15039,12403,9757,14843,12364,9972,14946,12017,10826,14697,12198,9752
45,15043,12403,9752,14853,12359,9967,14882,11934,10719,14687,12188,9743
46,15048,12403,9747,14858,12364,9962,14829,11803,10533,14687,12188,9743
47,15053,12403,9743,14858,12369,9952,14799,11676,10265,14687,12188,9743
48,15039,12417,9772,14858,12373,9948,14814,11593,10016,14687,12188,9743
49,15034,12422,9782,14858,12373,9948,14814,11524,9816,14697,12193,9752
50,15029,12427,9791,14853,12388,9943,14795,11451,9650,14692,12193,9752
51,15024,12432,9801,14848,12393,9938,14819,11456,9582,14692,12198,9752
52,15034,12422,9782,14848,12393,9938,14882,11563,9630,14697,12198,9757
53,15034,12413,9772,14838,12373,9972,14951,11676,9689,14687,12198,9747
54,15034,12403,9762,14834,12369,9982,15014,11768,9757,14692,12198,9747
55,15034,12393,9752,14829,12364,9991,15078,11861,9816,14692,12198,9747
56,15043,12403,9752,14819,12369,9991,15122,11915,9855,14692,12198,9747
57,15043,12413,9762,14819,12383,9977,15146,11964,9884,14692,12198,9747
