Time,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50
2024/8/1 0:00,2.92,0.13,0.01,4.76,-4.2,847.61,-36.08,-28.13,0,-0.88,-0.03,0.16,0.03,18,85.2,17.43,-29.27,167.8,346.67,17.87,2.13,2.16,-0.45,1.1,89.67,16.25,1.86,2.07,17.43,94.53,1.89,2,1.09,14.08,2.15,20.41,21.78,9.41,4.13,0.15,0.08,-7.95,-7.95,-48.7,-23.45,-40.75,-15.5,611.31,21.8,13.82
2024/8/1 0:30,2.87,0.13,0.01,8.62,-3.36,555.67,-31.95,-23.83,0.01,-0.39,-0.01,0.12,0.03,17.7,85.2,17.44,-30.17,175.3,354.82,17.86,1.73,1.78,0.08,1.17,90.96,16.17,1.85,2.03,17.44,93.83,1.88,2,1.23,13.99,1.85,20.28,21.65,9.19,4.14,0.14,0.08,-8.11,-8.11,-41.74,-22.16,-33.62,-14.05,614.08,21.69,13.77
2024/8/1 1:00,3.71,0.16,0.01,6.96,-6.68,863.58,-27.27,-19.09,0,-0.96,-0.02,0.14,0.05,17.65,85.19,17.6,-30.28,-131.6,48.68,17.86,1.98,2.07,0.02,1.09,91.57,16.22,1.85,2.03,17.6,93.46,1.89,2.02,1.32,14.06,1.72,20.16,21.53,8.99,4.14,0.14,0.08,-8.18,-8.18,-33.06,-21.47,-24.88,-13.29,614.68,21.76,13.81
2024/8/1 1:30,2.02,0.09,0,2.12,-4.66,1347.58,-26.42,-18.31,0,-2.2,-0.01,0.12,0.04,17.53,85.19,17.56,-29.59,-169.7,11.28,17.85,1.91,1.96,-0.21,1.15,92.42,16.26,1.86,2.01,17.56,93.68,1.89,2.01,1.27,14.07,1.53,20.06,21.42,8.83,4.15,0.14,0.08,-8.11,-8.11,-33.17,-19.67,-25.06,-11.56,617.8,21.81,13.85
2024/8/1 2:00,1.81,0.08,0.01,7.25,-3.59,1697.65,-26.66,-18.58,0,-0.49,-0.01,0.09,0.04,17.58,85.2,17.66,-28.12,-162.2,19.26,17.85,1.68,1.69,-0.24,1.19,92.37,16.29,1.86,2.02,17.66,93.31,1.89,2.03,1.36,14.1,1.55,19.95,21.32,8.68,4.15,0.14,0.08,-8.08,-8.08,-34.29,-19.03,-26.21,-10.95,620.16,21.86,13.88
2024/8/1 2:30,2.85,0.13,0,1.66,-2.58,1907.17,-25.94,-17.83,0,-1.56,-0.01,0.11,0.02,17.23,85.19,17.42,-25.93,-154.7,26.89,17.84,1.47,1.5,-0.85,0.82,94.84,16.36,1.87,1.97,17.42,94.98,1.9,2,1.01,14.14,1.03,19.85,21.22,8.56,4.15,0.14,0.08,-8.11,-8.11,-31.81,-20.07,-23.7,-11.96,634.03,21.95,13.96
2024/8/1 3:00,1,0.04,0,-1.62,-2.16,3986.4,-23.84,-15.67,0,1.33,-0.01,0.1,0.02,16.94,85.19,17.07,-23.09,-147.2,34.09,17.84,1.31,1.36,-2.05,0.98,96.08,16.28,1.86,1.94,17.07,96.78,1.89,1.95,0.63,14.11,0.77,19.74,21.12,8.45,4.15,0.14,0.08,-8.17,-8.17,-28.63,-19.06,-20.46,-10.88,648.49,21.84,13.9
2024/8/1 3:30,0.9,0.04,-0.01,-4.39,-5.36,4985.21,-31.08,-22.73,0,1.22,-0.01,0.08,0.07,16.51,85.16,16.65,-19.7,-139.7,40.84,17.83,1.49,1.53,-2.72,1.42,94.87,15.66,1.79,1.89,16.65,95.86,1.82,1.9,0.79,13.63,0.98,19.59,21.03,8.35,4.15,0.14,0.08,-8.35,-8.35,-43.39,-18.77,-35.04,-10.42,632.55,21,13.37
2024/8/1 4:00,0.65,0.03,0,-1.86,-2.22,5046.39,-32.76,-23.78,0,1.19,0,0.06,0.03,16.03,85.15,16.14,-15.81,-132.2,47.13,17.82,1.23,1.29,-2.59,1.41,95.58,15.29,1.75,1.83,16.14,96.48,1.78,1.84,0.65,13.31,0.82,19.37,20.94,8.25,4.15,0.14,0.08,-8.98,-8.98,-45.47,-20.06,-36.48,-11.08,637.88,20.51,13.09
2024/8/1 4:30,-0.68,-0.03,0,1,0.6,4735.3,-33.98,-24.05,0,0.6,0,0.06,-0.01,15.53,85.13,15.68,-11.52,-124.7,53.01,17.82,0.72,1.03,-2.47,1.46,96.96,15.01,1.72,1.77,15.68,97.8,1.75,1.79,0.39,13.12,0.55,19.12,20.84,8.17,4.15,0.13,0.08,-9.93,-9.93,-47.09,-20.86,-37.17,-10.93,649.11,20.16,12.88
2024/8/1 5:00,3.54,0.16,0.01,4.48,-4,3478.35,-39.68,-28.74,0,-0.89,-0.02,0.14,0.03,15.32,85.14,15.35,-6.89,-117.2,58.53,17.81,1.66,1.77,-1.81,1.1,96.75,14.78,1.69,1.75,15.35,98.44,1.72,1.75,0.27,12.94,0.58,18.86,20.74,8.09,4.15,0.13,0.08,-10.94,-10.94,-55.15,-24.22,-44.21,-13.28,657.05,19.85,12.69
2024/8/1 5:30,7.93,0.35,-0.02,-11.53,-9.99,2755.09,-35.95,-24.05,-0.01,0.87,-0.02,0.15,0.06,14.91,85.15,15.01,-1.83,-109.7,63.75,17.81,1.69,1.95,-0.09,1.12,97.48,14.48,1.66,1.7,15.01,98.46,1.69,1.71,0.27,12.68,0.44,18.61,20.62,8.01,4.15,0.13,0.08,-11.9,-11.9,-46.69,-25.21,-34.79,-13.31,675.18,19.47,12.47
2024/8/1 6:00,2.46,0.11,0.01,3.85,-0.61,1211.1,-34.8,-22.2,0,-0.16,-0.01,0.12,0,14.85,85.17,14.76,3.28,-102.2,68.74,17.8,1.17,1.23,15.62,3.49,97.98,14.49,1.66,1.69,14.76,99.49,1.68,1.68,0.09,12.61,0.35,18.4,20.5,7.96,4.15,0.13,0.08,-12.6,-12.6,-41.5,-28.1,-28.9,-15.49,667.26,19.48,12.49
